League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,29,"2,507",27.9,3,2,2,1,1,0,0
EPL,2019-2020,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,36,"3,240",36.0,0,1,0,0,0,7,0
EPL,2019-2020,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,25,"2,215",24.6,15,3,15,0,0,2,0
EPL,2019-2020,4,Che Adams,sco SCO,FW,Southampton,23,1996,30,12,"1,111",12.3,4,2,4,0,0,0,0
EPL,2019-2020,5,Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,0,1,0
EPL,2019-2020,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,18,"1,452",16.1,16,3,14,2,3,1,0
EPL,2019-2020,7,Albian Ajeti,ch SUI,"MF,FW",West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0
EPL,2019-2020,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,29,"2,503",27.8,2,2,2,0,0,2,0
EPL,2019-2020,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,20,9,867,9.6,0,3,0,0,0,2,0
EPL,2019-2020,10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33,33,"2,957",32.9,2,2,2,0,0,7,0
EPL,2019-2020,11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38,35,"3,175",35.3,4,13,4,0,0,5,0
EPL,2019-2020,12,Alisson,br BRA,GK,Liverpool,26,1992,29,29,"2,543",28.3,0,1,0,0,0,0,1
EPL,2019-2020,13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,25,21,"1,847",20.5,8,4,7,1,1,2,0
EPL,2019-2020,14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,36,35,"3,021",33.6,4,2,4,0,0,5,0
EPL,2019-2020,15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,15,"1,430",15.9,4,2,4,0,0,4,0
EPL,2019-2020,16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,19,12,"1,188",13.2,0,0,0,0,0,1,0
